;Learning_rate;Momentum;Number_of_hidden_layers;Number_of_nodes_per_layer;Time;accuracies;losses;AVG_loss;AVG_acc
75;0.001;0.2;3;[32, 64, 16, 10];9.901983499526978;[0.3421666622161865, 0.6304000020027161, 0.7830333113670349, 0.832966685295105];[2.051215648651123, 1.3002920150756836, 0.780343770980835, 0.5891372561454773];0.5144492387771606;0.8543999791145325
76;0.001;0.2;3;[64, 16, 32, 10];11.929614543914795;[0.2641666531562805, 0.5297666788101196, 0.7484666705131531, 0.8035333156585693];[2.1656644344329834, 1.6155542135238647, 0.9654962420463562, 0.683782696723938];0.6023582220077515;0.8295000195503235
77;0.001;0.2;3;[64, 32, 16, 10];12.279675006866455;[0.26161667704582214, 0.5863833427429199, 0.7517499923706055, 0.8202833533287048];[2.170823812484741, 1.511908769607544, 0.8697811961174011, 0.6162635684013367];0.5378320217132568;0.8468000292778015
78;0.001;0.3;3;[16, 32, 64, 10];10.557554960250854;[0.23839999735355377, 0.6402000188827515, 0.8044666647911072, 0.8443666696548462];[2.1606948375701904, 1.3729747533798218, 0.7044413685798645, 0.530373752117157];0.4726717174053192;0.8579999804496765
79;0.001;0.3;3;[16, 64, 32, 10];9.617020606994629;[0.3614666759967804, 0.6651166677474976, 0.7903833389282227, 0.8471333384513855];[2.0986745357513428, 1.2039955854415894, 0.7217075228691101, 0.5478425621986389];0.48051202297210693;0.8658999800682068
80;0.001;0.3;3;[32, 16, 64, 10];10.017454862594604;[0.19771666824817657, 0.6351666450500488, 0.7893000245094299, 0.8362833261489868];[2.1587839126586914, 1.3980917930603027, 0.7581923007965088, 0.5696874856948853];0.49828100204467773;0.8585000038146973
81;0.001;0.3;3;[32, 64, 16, 10];10.671140432357788;[0.3113333284854889, 0.6040499806404114, 0.7991166710853577, 0.8423500061035156];[2.0829994678497314, 1.3470481634140015, 0.7477031350135803, 0.5601270198822021];0.4790307581424713;0.8611999750137329
82;0.001;0.3;3;[64, 16, 32, 10];10.85683536529541;[0.29600000381469727, 0.6195999979972839, 0.7782999873161316, 0.8222666382789612];[2.0248491764068604, 1.2368746995925903, 0.7713136672973633, 0.6170054078102112];0.5504467487335205;0.8429999947547913
83;0.001;0.3;3;[64, 32, 16, 10];10.70182490348816;[0.33434998989105225, 0.6564833521842957, 0.8112166523933411, 0.8546500205993652];[2.0117952823638916, 1.2281343936920166, 0.6954067349433899, 0.5147711038589478];0.4414668381214142;0.8776000142097473
84;0.001;0.4;3;[16, 32, 64, 10];9.626805067062378;[0.259550005197525, 0.6006500124931335, 0.7702333331108093, 0.8337666392326355];[2.1444079875946045, 1.419169545173645, 0.7768562436103821, 0.5697391033172607];0.49286341667175293;0.8551999926567078
85;0.001;0.4;3;[16, 64, 32, 10];9.28008246421814;[0.2619166672229767, 0.5782166719436646, 0.7631666660308838, 0.8263000249862671];[2.1692659854888916, 1.4741811752319336, 0.810775876045227, 0.5954108834266663];0.5194225907325745;0.8463000059127808
86;0.001;0.4;3;[32, 16, 64, 10];9.786027431488037;[0.3556833267211914, 0.7077833414077759, 0.8312666416168213, 0.8679166436195374];[2.155021905899048, 1.2029403448104858, 0.6137252449989319, 0.46757078170776367];0.4139291048049927;0.8802000284194946
87;0.001;0.4;3;[32, 64, 16, 10];10.830442905426025;[0.2635166645050049, 0.6814333200454712, 0.8159999847412109, 0.8533833622932434];[2.1583192348480225, 1.2648829221725464, 0.6683239936828613, 0.508960485458374];0.4496482014656067;0.8711000084877014
88;0.001;0.4;3;[64, 16, 32, 10];11.274665832519531;[0.3532666563987732, 0.7313666939735413, 0.8192833065986633, 0.861133337020874];[1.967004418373108, 1.0228368043899536, 0.6391370296478271, 0.493298202753067];0.43066176772117615;0.880299985408783
89;0.001;0.4;3;[64, 32, 16, 10];12.168620824813843;[0.3149833381175995, 0.6994333267211914, 0.8226833343505859, 0.8607833385467529];[1.9881798028945923, 1.1625244617462158, 0.6537858843803406, 0.4972465932369232];0.4380372166633606;0.8762000203132629
90;0.001;0.5;3;[16, 32, 64, 10];9.700640678405762;[0.4153166711330414, 0.7838333249092102, 0.8521000146865845, 0.8752333521842957];[1.9241857528686523, 0.7931293249130249, 0.5118542909622192, 0.4321247339248657];0.3918496370315552;0.8812000155448914
91;0.001;0.5;3;[16, 64, 32, 10];9.50674843788147;[0.24265000224113464, 0.6003333330154419, 0.7985333204269409, 0.8543999791145325];[2.182997226715088, 1.3473650217056274, 0.7056195735931396, 0.5066187977790833];0.4456045925617218;0.8680999875068665
92;0.001;0.5;3;[32, 16, 64, 10];9.650232076644897;[0.35899999737739563, 0.7589499950408936, 0.848966658115387, 0.8753166794776917];[2.0035393238067627, 0.9639462828636169, 0.5453702211380005, 0.4397960305213928];0.3904997706413269;0.8881999850273132
93;0.001;0.5;3;[32, 64, 16, 10];11.121810913085938;[0.3658166527748108, 0.7434499859809875, 0.8497499823570251, 0.8766833543777466];[1.857165813446045, 0.8724752068519592, 0.5341421365737915, 0.4323733448982239];0.3893657326698303;0.8848999738693237
94;0.001;0.5;3;[64, 16, 32, 10];11.660135746002197;[0.32778334617614746, 0.7207333445549011, 0.8252500295639038, 0.8664666414260864];[1.9863040447235107, 1.008844256401062, 0.6130619049072266, 0.46953636407852173];0.4057368040084839;0.8883000016212463
95;0.001;0.5;3;[64, 32, 16, 10];11.717610597610474;[0.3334999978542328, 0.734416663646698, 0.845300018787384, 0.874750018119812];[1.9540683031082153, 0.9694099426269531, 0.548961341381073, 0.4344682991504669];0.385544091463089;0.8845999836921692
96;0.001;0.6;3;[16, 32, 64, 10];10.32292652130127;[0.40389999747276306, 0.7964833378791809, 0.8629833459854126, 0.8831833600997925];[1.7940267324447632, 0.7257848978042603, 0.4851796627044678, 0.4123252034187317];0.37787139415740967;0.8913999795913696
97;0.001;0.6;3;[16, 64, 32, 10];9.909345388412476;[0.44173333048820496, 0.7696666717529297, 0.843500018119812, 0.8736166954040527];[1.814735770225525, 0.7793623208999634, 0.5287893414497375, 0.43195027112960815];0.386944055557251;0.8863999843597412
98;0.001;0.6;3;[32, 16, 64, 10];12.416695356369019;[0.4315333366394043, 0.8087000250816345, 0.869866669178009, 0.8901500105857849];[1.804903507232666, 0.7136611342430115, 0.4601266384124756, 0.3853224217891693];0.3509550392627716;0.8985000252723694
99;0.001;0.6;3;[32, 64, 16, 10];14.133028745651245;[0.45908331871032715, 0.824566662311554, 0.8814666867256165, 0.8987166881561279];[1.7511086463928223, 0.6635671257972717, 0.4343951642513275, 0.3622686564922333];0.33512893319129944;0.9041000008583069
100;0.001;0.6;3;[64, 16, 32, 10];15.152866840362549;[0.29313334822654724, 0.783050000667572, 0.8625500202178955, 0.887066662311554];[1.9761669635772705, 0.8621920347213745, 0.4933687746524811, 0.3976157605648041];0.36134353280067444;0.8967999815940857
101;0.001;0.6;3;[64, 32, 16, 10];14.978790760040283;[0.5454999804496765, 0.8439333438873291, 0.8844666481018066, 0.9014333486557007];[1.5332342386245728, 0.5697357654571533, 0.4047214090824127, 0.34318026900291443];0.3098064661026001;0.9104999899864197
102;0.001;0.7;3;[16, 32, 64, 10];12.299584150314331;[0.4761333465576172, 0.841533362865448, 0.8794999718666077, 0.8965666890144348];[1.6545478105545044, 0.5837475061416626, 0.4264185130596161, 0.36626607179641724];0.33325427770614624;0.9036999940872192
103;0.001;0.7;3;[16, 64, 32, 10];12.20268988609314;[0.4150499999523163, 0.7448999881744385, 0.8508666753768921, 0.8864166736602783];[1.7968778610229492, 0.8039782047271729, 0.5136414766311646, 0.3902336061000824];0.34573501348495483;0.8988999724388123
104;0.001;0.7;3;[32, 16, 64, 10];13.458702325820923;[0.44815000891685486, 0.8261333107948303, 0.8823833465576172, 0.8982999920845032];[1.719767451286316, 0.6196532845497131, 0.41198745369911194, 0.3533467650413513];0.31788912415504456;0.9071000218391418
105;0.001;0.7;3;[32, 64, 16, 10];14.030216217041016;[0.48794999718666077, 0.8412833213806152, 0.8877000212669373, 0.9036333560943604];[1.5293223857879639, 0.556464672088623, 0.39445170760154724, 0.3368360996246338];0.31177952885627747;0.9099000096321106
